nombre,precio,calificacion,ciudad,check_in,check_out
Hotel Brisas La Gaviota Mariquit-Tolima,COP 262.080,"Puntuación: 9,1
9,1
Fantástico
98 comentarios",Mariquita,2024-11-14,2024-11-15
Domus Olea Glamping,COP 343.440,"Puntuación: 9,8
9,8
Excepcional
16 comentarios","EL PEÑOL, GUATAPÉ",2024-11-14,2024-11-15
1714 Hotel Boutique Guatapé,COP 246.340,"Puntuación: 9,3
9,3
Fantástico
158 comentarios","EL PEÑOL, GUATAPÉ",2024-11-14,2024-11-15
Hotel Spa Bliss Guatape,COP 123.200,"Puntuación: 9,8
9,8
Excepcional
5 comentarios",GUATAPÉ,2024-11-14,2024-11-15
Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,COP 448.000,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-11-14,2024-11-15
Hobbit Hotel Ecolodge- Guatapé,COP 331.940,"Puntuación: 10
10
Excepcional
76 comentarios",GUATAPÉ,2024-11-14,2024-11-15
Hotel Brisas La Gaviota Mariquit-Tolima,COP 262.080,"Puntuación: 9,1
9,1
Fantástico
98 comentarios",Mariquita,2024-11-15,2024-11-16
Domus Olea Glamping,COP 343.440,"Puntuación: 9,8
9,8
Excepcional
16 comentarios","EL PEÑOL, GUATAPÉ",2024-11-15,2024-11-16
1714 Hotel Boutique Guatapé,COP 246.340,"Puntuación: 9,3
9,3
Fantástico
158 comentarios","EL PEÑOL, GUATAPÉ",2024-11-15,2024-11-16
Hotel Spa Bliss Guatape,COP 168.000,"Puntuación: 9,8
9,8
Excepcional
5 comentarios",GUATAPÉ,2024-11-15,2024-11-16
Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,COP 486.400,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-11-15,2024-11-16
Hobbit Hotel Ecolodge- Guatapé,COP 331.940,"Puntuación: 10
10
Excepcional
76 comentarios",GUATAPÉ,2024-11-15,2024-11-16
