precio,nombre,calificacion,ciudad,check_in,check_out
COP 200.000,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,2
9,2
Fantástico
97 comentarios",Mariquita,2025-12-28,2025-12-29
COP 130.220,Domus Glamping Guatapé,"Puntuación: 9,6
9,6
Excepcional
66 comentarios","EL PEÑOL, GUATAPÉ",2025-12-28,2025-12-29
COP 130.220,1714 Hotel Boutique Guatapé,"Puntuación: 9,0
9,0
Fantástico
216 comentarios","EL PEÑOL, GUATAPÉ",2025-12-28,2025-12-29
COP 130.220,Hotel Spa Bliss Guatape,"Puntuación: 8,9
8,9
Fabuloso
83 comentarios",GUATAPÉ,2025-12-28,2025-12-29
COP 130.220,hotel campestre cerca del aeropuerto vía autopista Medellín Bogotá,"Puntuación: 8,8
8,8
Fabuloso
4 comentarios","MARINILLA, ANTIOQUIA",2025-12-28,2025-12-29
COP 130.220,Hobbit Hotel El peñol Guatapé,"Puntuación: 9,9
9,9
Excepcional
18 comentarios",GUATAPÉ,2025-12-28,2025-12-29
COP 130.220,Marina Navegar,"Puntuación: 8,9
8,9
Fabuloso
81 comentarios","El peñol, Guatapé",2025-12-28,2025-12-29
COP 403.200,Hobbit Hotel El peñol Guatapé,"Puntuación: 9,9
9,9
Excepcional
18 comentarios","EL PEÑOL, GUATAPÉ",2025-12-28,2025-12-29
COP 130.220,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,5
7,5
Bien
32 comentarios",GUATAPÉ,2025-12-28,2025-12-29
COP 130.220,Hotel Campestre Alto lindo en Guatapé,"Puntuación: 8,1
8,1
Muy bien
144 comentarios","EL PEÑOL, GUATAPÉ",2025-12-28,2025-12-29
COP 208.340,Hotel Verony Guatape,"Puntuación: 8,1
8,1
Muy bien
1.644 comentarios","EL PEÑOL, GUATAPÉ",2025-12-28,2025-12-29
COP 96.740,Habitación con parqueo a 15 min de Panajachel,"Puntuación: 7,8
7,8
Bien
553 comentarios","EL PEÑOL, GUATAPÉ",2025-12-28,2025-12-29
COP 130.220,Finca El Peñol,"Puntuación: 7,2
7,2
Bien
18 comentarios","EL PEÑOL, GUATAPÉ",2025-12-28,2025-12-29
COP 450.000,Finca El Peñol,"Puntuación: 7,2
7,2
Bien
18 comentarios","EL PEÑOL, GUATAPÉ",2025-12-28,2025-12-29
COP 130.220,Hotel y Termales Castillo Del Lago Guatape,"Puntuación: 9,8
9,8
Excepcional
12 comentarios",EL PEÑOL,2025-12-28,2025-12-29
COP 119.940,Atma Villas,"Puntuación: 9,0
9,0
Fantástico
129 comentarios",El peñol ,2025-12-28,2025-12-29
COP 194.040,Hotel Z3 Pereira,"Puntuación: 8,2
8,2
Muy bien
441 comentarios",Pereira,2025-12-28,2025-12-29
COP 130.220,Hotel Portobelo Guatape,"Puntuación: 8,8
8,8
Fabuloso
165 comentarios",Guatapé ,2025-12-28,2025-12-29
COP 79.420,La Herradura lodge,"Puntuación: 9,6
9,6
Excepcional
140 comentarios",Santa rosa de cabal,2025-12-28,2025-12-29
COP 520.000,Hotel El Alba,"Puntuación: 8,3
8,3
Muy bien
20 comentarios",Cali,2025-12-28,2025-12-29
COP 130.220,Casa García Rent Home,"Puntuación: 9,0
9,0
Fantástico
412 comentarios",GUATAPE,2025-12-28,2025-12-29
